Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22754100,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""""","=""""",5,3.93,Riverhead,Kindle Edition,326,2015,2015,2017/02/19,2015/12/20,,,read,,,,1,,,0,,,,,
2318271,The Last Lecture,Randy Pausch,"Pausch, Randy",Jeffrey Zaslow,"=""1401323251""","=""9781401323257""",4,4.26,Hachette Books,Hardcover,206,2008,2008,2013/11/29,2013/11/24,,,read,,,,1,,,0,,,,,
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",5,4.17,Crown Business,Hardcover,195,2014,2014,,2015/10/11,,,read,,,,1,,,0,,,,,
22091581,Traction: A Startup Guide to Getting Customers,Gabriel Weinberg,"Weinberg, Gabriel",Justin Mares,"=""0976339609""","=""9780976339601""",5,4.16,S-curve Publishing,Hardcover,288,2014,2014,2017/02/27,2017/02/19,,,read,,,,1,,,0,,,,,
13336409,"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,"Stroud, Jonathan",,"=""""","=""""",4,4.00,Disney Hyperion,Kindle Edition,476,2011,2003,2017/03/12,2017/03/04,,,read,,,,1,,,0,,,,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",5,4.26,St. Martin's Press,Paperback,264,2004,1939,2016/12/22,2016/10/27,,,read,,,,1,,,0,,,,,
11256293,"Life is What You Make It: A Story of Love, Hope and How Determination Can Overcome Even Destiny",Preeti Shenoy,"Shenoy, Preeti",,"=""9380349300""","=""9789380349305""",4,3.62,Srishti Publishers and Distributors,Paperback,209,2011,2011,,2013/11/24,,,read,,,,1,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",5,4.14,Knopf,Hardcover,465,2008,2005,2016/01/17,2016/01/01,,,read,,,,1,,,0,,,,,
976,Deception Point,Dan Brown,"Brown, Dan",,"=""0671027387""","=""9780671027384""",4,3.72,Pocket Books,Mass Market Paperback,556,2002,2001,,2015/10/07,,,read,,,,1,,,0,,,,,
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",4,3.98,Back Bay Books,Paperback,301,2002,2000,2015/09/08,2015/08/27,,,read,,,,1,,,0,,,,,
10261130,"Warren Buffett Invests Like a Girl: And Why You Should, Too",Louann Lofton,"Lofton, Louann",,"=""0061567558""","=""9780061567551""",2,3.59,HarperBusiness,Hardcover,272,2011,2011,,2015/08/27,,,read,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",5,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2014/02/11,2013/12/16,,,read,,,,1,,,0,,,,,
12615008,"Revolution 2020: Love, Corruption, Ambition",Chetan Bhagat,"Bhagat, Chetan",,"=""8129118807""","=""9788129118806""",3,3.10,Rupa Publications,Paperback,296,2011,2011,,2013/11/24,,,read,,,,1,,,0,,,,,
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",5,4.14,Simon & Schuster,Hardcover,627,2011,2011,,2013/11/23,,,read,,,,1,,,0,,,,,
